CellLine,Precision,Recall,Accuracy,Support
0,0.5399137001077777,0.5399137001077777,0.5399137001078749,5562.0
1,0.5253863134656782,0.5253863134656782,0.5253863134657837,4983.0
2,0.5557898436126242,0.5557898436126242,0.5557898436127219,5691.0
3,0.5445615288443392,0.5445615288443392,0.5445615288444365,5599.0
4,0.539007092198445,0.539007092198445,0.5390070921985816,3948.0
5,0.5296009078871704,0.5296009078871704,0.5296009078872707,5287.0
6,0.4916543026705319,0.4916543026705319,0.49165430267062316,5392.0
7,0.5416142369224264,0.5416142369224264,0.5416142369225239,5563.0
8,0.5533114138091701,0.5533114138091701,0.5533114138093002,4258.0
9,0.5438629167441713,0.5438629167441713,0.5438629167442727,5369.0
10,0.5490580847722627,0.5490580847722627,0.5490580847723705,5096.0
11,0.5233445766020729,0.5233445766020729,0.5233445766021658,5633.0
12,0.5281914893616084,0.5281914893616084,0.5281914893617021,5640.0
13,0.48832271762198637,0.48832271762198637,0.4883227176220807,5181.0
14,0.5409123823315458,0.5409123823315458,0.5409123823316437,5524.0
15,0.5061483538277457,0.5061483538277457,0.5061483538278461,5042.0
16,0.5302770286833709,0.5302770286833709,0.5302770286835009,4079.0
17,0.5288976097037943,0.5288976097037943,0.5288976097038887,5606.0
18,0.5317970703821844,0.5317970703821844,0.5317970703822794,5598.0
19,0.49582425562808713,0.49582425562808713,0.4958242556281772,5508.0
20,0.5386262265833115,0.5386262265833115,0.5386262265834076,5605.0
21,0.5262962274669157,0.5262962274669157,0.5262962274670135,5381.0
22,0.5462562994959419,0.5462562994959419,0.5462562994960403,5556.0
23,0.5462168858394232,0.5462168858394232,0.5462168858395273,5247.0
24,0.5168067226889549,0.5168067226889549,0.5168067226890757,4284.0
25,0.5419919564701816,0.5419919564701816,0.54199195647031,4227.0
26,0.5263772175535653,0.5263772175535653,0.5263772175536882,4284.0
27,0.5276558384543216,0.5276558384543216,0.5276558384547849,1139.0
28,0.49701897018961205,0.49701897018961205,0.49701897018970187,5535.0
29,0.5465732677015247,0.5465732677015247,0.5465732677016282,5282.0
30,0.54672814328772,0.54672814328772,0.5467281432878169,5639.0
31,0.5574545454544441,0.5574545454544441,0.5574545454545454,5500.0
32,0.5364130434781637,0.5364130434781637,0.5364130434782609,5520.0
33,0.516942626106947,0.516942626106947,0.5169426261070466,5194.0
34,0.5246927892417054,0.5246927892417054,0.524692789241827,4313.0
35,0.5310445580714881,0.5310445580714881,0.5310445580715851,5476.0
36,0.5366168603577686,0.5366168603577686,0.5366168603578676,5421.0
37,0.57881325081897,0.57881325081897,0.5788132508190753,5494.0
38,0.54774489076805,0.54774489076805,0.5477448907681466,5676.0
39,0.5477692128006195,0.5477692128006195,0.5477692128007475,4281.0
40,0.5100886290777842,0.5100886290777842,0.5100886290778804,5303.0
41,0.5179870257518148,0.5179870257518148,0.5179870257519167,5087.0
42,0.5510312944522491,0.5510312944522491,0.5510312944523471,5624.0
43,0.5346023839173573,0.5346023839173573,0.5346023839174524,5621.0
44,0.5370715350222546,0.5370715350222546,0.5370715350223547,5368.0
45,0.540758827948809,0.540758827948809,0.5407588279489106,5324.0
46,0.5687477444964689,0.5687477444964689,0.5687477444965716,5542.0
47,0.5299547511311258,0.5299547511311258,0.5299547511312217,5525.0
48,0.555206214166718,0.555206214166718,0.5552062141668208,5407.0
49,0.5584369449377338,0.5584369449377338,0.558436944937833,5630.0
50,0.5609060103441125,0.5609060103441125,0.5609060103442126,5607.0
51,0.5112116073110021,0.5112116073110021,0.5112116073110986,5307.0
52,0.48762428601639773,0.48762428601639773,0.48762428601650093,4727.0
53,0.5350149938259772,0.5350149938259772,0.5350149938260716,5669.0
54,0.5258088416891762,0.5258088416891762,0.525808841689306,4049.0
55,0.5522739626742974,0.5522739626742974,0.5522739626743975,5519.0
56,0.5419982316533082,0.5419982316533082,0.5419982316534041,5655.0
57,0.5509765275039328,0.5509765275039328,0.5509765275040316,5581.0
58,0.5352264557871073,0.5352264557871073,0.5352264557872034,5564.0
59,0.5142040378773425,0.5142040378773425,0.5142040378774343,5597.0
